item,name
Q48619921,Balthazar Seydoux
Q41479234,Brigitte Boccone-Pagès
Q27569261,Béatrice Fresko-Rolfo
Q41449140,Christophe Robino
Q48624362,Corinne Bertani
Q41447848,Daniel Boeri
Q41480413,Fabrice Notari
Q48621657,Franck Julien
Q48621419,Franck Lobono
Q41480094,Guillaume Rose
Q25999631,Jacques Rit
Q48622548,Jean-Charles Emmerich
Q3166802,Jean-Louis Grinda
Q3186188,José Badia
Q48625396,Karen Aliprendi
Q48621015,Marc Mourou
Q48622423,Marie-Noëlle Gibelli
Q48622226,Marine Grisoul
Q41479448,Michèle Dittlot
Q41448759,Nathalie Amoratti-Blanc
Q48625107,Pierre Bardy
Q48619501,Pierre van Klaveren
Q3502121,Stéphane Valeri
Q48622862,Thomas Brezzo
